Stock Code,Name of Listed Company,Listed Company's Website Address
1205,CITIC Resources Holdings Limited,http://www.irasia.com/listco/hk/citicresources
1207,SRE Group Limited,http://www.sre.com.cn
1208,Minmetals Resources Limited,http://www.minmetalsresources.com
1211,BYD Company Limited,http://www.byd.com.cn
1212,Lifestyle International Holdings Limited,http://www.lifestylehk.com.hk
1213,Mobicon Group Limited,http://www.mobicon.com
1215,Kai Yuan Holdings Limited,http://www.kaiyuanholdings.com
1217,China Innovation Investment Limited,http://www.1217.com.hk
1218,Easyknit International Holdings Limited,http://www.easyknit.com
1220,Ocean Grand Holdings Limited,http://www.ogh-1220.info
1221,Sino Hotels (Holdings) Limited,http://www.sino.com
1222,Wang On Group Limited,http://www.wangon.com/
1223,Symphony Holdings Limited,http://www.symphonyholdings.com
1224,C C Land Holdings Limited,http://www.ccland.com.hk
1225,Lerado Group (Holding) Company Limited,http://www.irasia.com/listco/hk/lerado/index.htm
1226,Garron International Limited,http://www.garroninternational.com
1227,National Investments Fund Limited,http://www.nif-hk.com 
1228,Superb Summit International Timber Company Limited,http://www.ssitimber.com.hk 
1229,International Resources Enterprise Limited,http://www.inren.com.hk
1230,Yashili International Holdings Ltd.,http://www.yashili.hk
1231,Newton Resources Ltd,http://www.newton-resources.com
1234,China Lilang Limited,http://www.lilanz.com
1238,Powerlong Real Estate Holdings Limited,http://www.powerlong.com
